 Day:+25, З 1м/с, 746,  Evening:+23, 744
 Day:-1, СВ 2м/с, 754,  Evening:-2, 756
 Day:-3, З 2м/с, 755,  Evening:-2, 753
 Day:-1, ЮЗ 2м/с, 748,  Evening:-1, 745
 Day:+2, З 3м/с, 745,  Evening:+1, 743
 Day:+2, З 4м/с, 731,  Evening:+3, 731
 Day:+1, СЗ 3м/с, 737,  Evening:+1, 741
 Day:0, СЗ 3м/с, 754,  Evening:-1, 755
 Day:+2, З 5м/с, 753,  Evening:+1, 752
 Day:-1, З 2м/с, 756,  Evening:-2, 755
 Day:-2, ЮЗ 2м/с, 753,  Evening:0, 752
 Day:+1, Ю 2м/с, 744,  Evening:-1, 746
 Day:0, З 2м/с, 752,  Evening:-4, 753
 Day:-2, ЮВ 2м/с, 751,  Evening:-3, 749
 Day:-4, СЗ 1м/с, 744,  Evening:-5, 743
 Day:-9, СЗ 3м/с, 743,  Evening:-10, 746
 Day:-10, З 2м/с, 752,  Evening:-12, 752
 Day:-16, В 1м/с, 754,  Evening:-13, 750
 Day:-6, В 2м/с, 743,  Evening:-5, 745
 Day:-1, Ю 1м/с, 746,  Evening:-1, 743
 Day:+2, Ш, 736,  Evening:, 
 Day:+2, З 2м/с, 741,  Evening:+2, 742
 Day:+1, В 1м/с, 730,  Evening:0, 733
 Day:-1, СЗ 5м/с, 743,  Evening:-3, 746
 Day:-5, ЮЗ 2м/с, 743,  Evening:-2, 740
 Day:+1, З 2м/с, 736,  Evening:-3, 735
 Day:-4, З 3м/с, 745,  Evening:-3, 748
 Day:-6, СЗ 3м/с, 752,  Evening:-8, 754
 Day:-11, С 1м/с, 757,  Evening:-15, 758
 Day:0, З 3м/с, 755,  Evening:+1, 754
 Day:+3, З 3м/с, 744,  Evening:+3, 744
 Day:+4, З 3м/с, 738,  Evening:+5, 737
 Day:+5, СЗ 2м/с, 743,  Evening:+4, 745
 Day:+5, З 2м/с, 740,  Evening:+4, 739
 Day:+3, СЗ 5м/с, 747,  Evening:+3, 751
 Day:+3, З 2м/с, 756,  Evening:-1, 756
 Day:+2, З 2м/с, 753,  Evening:+2, 752
 Day:+3, Ю 1м/с, 751,  Evening:+2, 750
 Day:+2, Ю 3м/с, 746,  Evening:+1, 743
 Day:0, В 3м/с, 736,  Evening:+1, 735
 Day:0, В 2м/с, 738,  Evening:0, 740
 Day:-1, В 2м/с, 743,  Evening:-3, 745
 Day:-4, С 1м/с, 749,  Evening:-5, 750
 Day:-3, В 2м/с, 748,  Evening:-4, 748
 Day:-3, В 3м/с, 748,  Evening:-5, 749
 Day:-6, В 3м/с, 752,  Evening:-7, 754
 Day:-4, В 1м/с, 754,  Evening:-5, 755
 Day:-6, Ю 1м/с, 755,  Evening:-6, 755
 Day:-9, В 4м/с, 752,  Evening:-9, 750
 Day:+3, ЮЗ 3м/с, 741,  Evening:+3, 744
 Day:+7, ЮЗ 2м/с, 746,  Evening:+8, 746
 Day:+10, ЮЗ 2м/с, 748,  Evening:+10, 749
 Day:+3, СЗ 2м/с, 755,  Evening:+2, 756
 Day:+1, В 2м/с, 752,  Evening:0, 752
 Day:0, В 4м/с, 744,  Evening:+2, 740
 Day:-4, З 4м/с, 746,  Evening:-5, 749
 Day:-2, З 3м/с, 751,  Evening:-3, 752
 Day:+2, Ш, 754,  Evening:-2, 755
 Day:+13, СЗ 1м/с, 752,  Evening:+7, 751
 Day:+9, З 3м/с, 743,  Evening:+9, 744
 Day:+11, З 3м/с, 736,  Evening:+12, 740
 Day:+11, СЗ 2м/с, 755,  Evening:+4, 756
 Day:+17, ЮЗ 3м/с, 752,  Evening:+12, 749
 Day:+19, ЮЗ 3м/с, 742,  Evening:+9, 742
 Day:+3, С 2м/с, 743,  Evening:+1, 742
 Day:0, З 4м/с, 740,  Evening:-1, 743
 Day:+1, ЮЗ 4м/с, 745,  Evening:0, 745
 Day:0, З 3м/с, 744,  Evening:0, 745
 Day:+1, З 2м/с, 748,  Evening:-1, 749
 Day:+2, З 4м/с, 754,  Evening:+2, 755
 Day:+3, З 3м/с, 758,  Evening:+3, 758
 Day:+9, З 3м/с, 759,  Evening:+6, 760
 Day:+6, З 4м/с, 758,  Evening:+5, 757
 Day:+7, СВ 1м/с, 758,  Evening:+5, 759
 Day:+10, З 3м/с, 755,  Evening:+7, 753
 Day:+11, З 3м/с, 749,  Evening:+9, 748
 Day:+5, З 2м/с, 746,  Evening:+5, 745
 Day:+1, С 2м/с, 750,  Evening:+1, 754
 Day:+1, С 2м/с, 758,  Evening:-2, 760
 Day:+3, Ю 1м/с, 761,  Evening:-2, 761
 Day:+3, ЮВ 2м/с, 758,  Evening:+3, 755
 Day:0, В 1м/с, 752,  Evening:0, 752
 Day:+1, В 2м/с, 749,  Evening:+2, 749
 Day:+3, ЮЗ 3м/с, 746,  Evening:+3, 749
 Day:+7, ЮЗ 2м/с, 746,  Evening:+5, 745
 Day:+5, Ю 1м/с, 745,  Evening:+4, 743
 Day:+3, СЗ 3м/с, 746,  Evening:+1, 752
 Day:0, СЗ 2м/с, 756,  Evening:-1, 757
 Day:+17, СЗ 2м/с, 746,  Evening:+8, 747
 Day:+19, СЗ 3м/с, 746,  Evening:+9, 746
 Day:+19, С 1м/с, 747,  Evening:+14, 749
 Day:+21, Ю 2м/с, 752,  Evening:+18, 752
 Day:+26, Ю 1м/с, 749,  Evening:+18, 749
 Day:+26, З 1м/с, 748,  Evening:+23, 748
 Day:+34, ЮЗ 2м/с, 743,  Evening:+30, 743
 Day:+21, З 3м/с, 749,  Evening:+15, 749
 Day:+22, З 2м/с, 752,  Evening:+16, 753
 Day:+19, З 2м/с, 753,  Evening:+13, 753
 Day:+13, СЗ 3м/с, 756,  Evening:+11, 758
 Day:+17, СВ 2м/с, 760,  Evening:+11, 761
 Day:, Ш, ,  Evening:+10, 761
 Day:+21, В 1м/с, 759,  Evening:+13, 758
 Day:+22, СВ 1м/с, 755,  Evening:+17, 754
 Day:+22, З 2м/с, 752,  Evening:+16, 752
 Day:+23, СЗ 1м/с, 754,  Evening:+15, 755
 Day:+22, З 1м/с, 754,  Evening:+19, 753
 Day:+28, З 3м/с, 749,  Evening:+20, 749
 Day:+25, СЗ 2м/с, 750,  Evening:+18, 752
 Day:+23, В 1м/с, 754,  Evening:+18, 754
 Day:+26, В 1м/с, 755,  Evening:+20, 755
 Day:+27, В 1м/с, 756,  Evening:+22, 756
 Day:+27, З 2м/с, 757,  Evening:+17, 757
 Day:+27, СЗ 2м/с, 756,  Evening:+18, 756
 Day:+27, З 1м/с, 756,  Evening:+17, 757
 Day:+29, З 1м/с, 758,  Evening:+20, 758
 Day:+28, ЮЗ 2м/с, 758,  Evening:+23, 758
 Day:+23, Ю 3м/с, 758,  Evening:+17, 757
 Day:+31, З 4м/с, 746,  Evening:+25, 744
 Day:+22, С 3м/с, 753,  Evening:+17, 754
 Day:+26, З 2м/с, 754,  Evening:+18, 753
 Day:+25, СЗ 4м/с, 750,  Evening:+18, 750
 Day:+23, С 2м/с, 748,  Evening:+18, 748
 Day:+21, СЗ 3м/с, 749,  Evening:+16, 750
 Day:+24, С 2м/с, 752,  Evening:+17, 753
 Day:+21, З 2м/с, 752,  Evening:+18, 751
 Day:+28, С 2м/с, 750,  Evening:+18, 750
 Day:+29, СЗ 2м/с, 747,  Evening:+23, 748
 Day:+26, СЗ 4м/с, 749,  Evening:+20, 751
 Day:+24, С 2м/с, 753,  Evening:+20, 755
 Day:+27, З 2м/с, 754,  Evening:+19, 753
 Day:+29, З 3м/с, 747,  Evening:+19, 747
 Day:+24, З 1м/с, 746,  Evening:+14, 746
 Day:+17, Ш, 744,  Evening:+15, 743
 Day:+19, СЗ 3м/с, 742,  Evening:+13, 743
 Day:+18, З 3м/с, 745,  Evening:+14, 747
 Day:+16, СЗ 2м/с, 749,  Evening:+12, 749
 Day:+16, СЗ 2м/с, 751,  Evening:+13, 752
 Day:+22, СЗ 2м/с, 753,  Evening:+17, 754
 Day:+26, З 2м/с, 753,  Evening:+14, 752
 Day:+20, С 2м/с, 749,  Evening:+13, 751
 Day:+16, С 2м/с, 752,  Evening:+11, 753
 Day:+20, СЗ 3м/с, 749,  Evening:+15, 749
 Day:+14, В 2м/с, 751,  Evening:+15, 750
 Day:+26, ЮЗ 1м/с, 749,  Evening:+16, 750
 Day:+27, З 2м/с, 749,  Evening:+18, 749
 Day:+24, З 2м/с, 747,  Evening:+21, 743
 Day:+18, З 5м/с, 740,  Evening:+9, 743
 Day:+24, З 1м/с, 744,  Evening:+17, 745
 Day:+26, СЗ 3м/с, 747,  Evening:+20, 748
 Day:+23, СЗ 3м/с, 748,  Evening:+17, 750
 Day:+26, З 2м/с, 746,  Evening:+18, 747
 Day:+31, З 3м/с, 743,  Evening:+24, 743
 Day:+24, СЗ 4м/с, 742,  Evening:+16, 745
 Day:+19, СЗ 2м/с, 748,  Evening:+14, 747
 Day:+25, З 3м/с, 741,  Evening:+20, 743
 Day:+26, С 2м/с, 746,  Evening:+21, 746
 Day:+35, З 3м/с, 741,  Evening:+31, 740
 Day:+24, ЮВ 1м/с, 737,  Evening:+22, 734
 Day:+17, ЮЗ 3м/с, 734,  Evening:+17, 734
 Day:+23, З 4м/с, 740,  Evening:+18, 743
 Day:+25, ЮЗ 3м/с, 746,  Evening:+19, 746
 Day:+23, З 2м/с, 746,  Evening:+20, 745
 Day:+24, СЗ 2м/с, 742,  Evening:+17, 743
 Day:+19, СЗ 3м/с, 743,  Evening:+17, 744
 Day:+22, С 1м/с, 744,  Evening:+18, 745
 Day:+22, СВ 2м/с, 746,  Evening:+17, 747
 Day:+27, З 2м/с, 745,  Evening:+22, 743
 Day:+20, ЮЗ 2м/с, 738,  Evening:+18, 739
 Day:+22, З 3м/с, 742,  Evening:+17, 744
 Day:+22, З 3м/с, 745,  Evening:+19, 745
 Day:+26, З 2м/с, 747,  Evening:+17, 747
 Day:+26, СЗ 3м/с, 747,  Evening:+19, 748
 Day:+26, СЗ 2м/с, 749,  Evening:+20, 748
 Day:+28, СЗ 2м/с, 747,  Evening:+22, 747
 Day:+28, З 2м/с, 747,  Evening:+19, 747
 Day:+29, Ю 1м/с, 746,  Evening:+25, 745
 Day:+28, С 2м/с, 745,  Evening:+20, 746
 Day:+33, В 2м/с, 746,  Evening:+24, 747
 Day:+28, Ю 2м/с, 749,  Evening:+20, 749
 Day:+19, З 2м/с, 748,  Evening:+18, 747
 Day:+28, З 3м/с, 746,  Evening:+18, 746
 Day:+23, СЗ 3м/с, 747,  Evening:+19, 747
 Day:+19, СЗ 3м/с, 749,  Evening:+13, 750
 Day:+20, СЗ 3м/с, 752,  Evening:+13, 752
 Day:+26, З 3м/с, 747,  Evening:+18, 747
 Day:+24, СЗ 3м/с, 750,  Evening:+18, 749
 Day:+21, С 2м/с, 750,  Evening:+15, 750
 Day:+19, СЗ 2м/с, 749,  Evening:+11, 749
 Day:+23, З 2м/с, 746,  Evening:+13, 746
 Day:+21, СЗ 2м/с, 750,  Evening:+17, 750
 Day:+28, ЮЗ 2м/с, 749,  Evening:+19, 749
 Day:+32, З 3м/с, 747,  Evening:+28, 746
 Day:+32, ЮЗ 2м/с, 746,  Evening:+28, 746
 Day:+35, З 2м/с, 746,  Evening:+29, 744
 Day:+32, С 1м/с, 744,  Evening:+24, 745
 Day:+33, В 2м/с, 745,  Evening:+25, 746
 Day:+32, В 3м/с, 746,  Evening:+28, 748
 Day:+37, ЮВ 3м/с, 746,  Evening:+27, 747
 Day:+35, В 2м/с, 747,  Evening:+30, 746
 Day:+31, З 3м/с, 746,  Evening:+24, 747
 Day:+32, СЗ 2м/с, 748,  Evening:+26, 748
 Day:+32, СВ 2м/с, 746,  Evening:+27, 746
 Day:+31, С 2м/с, 744,  Evening:+26, 744
 Day:+32, В 2м/с, 742,  Evening:+27, 742
 Day:+35, З 2м/с, 741,  Evening:+29, 741
 Day:+33, З 3м/с, 743,  Evening:+27, 743
 Day:+23, ЮВ 1м/с, 752,  Evening:+18, 752
 Day:+23, В 2м/с, 750,  Evening:+18, 750
 Day:+23, В 2м/с, 746,  Evening:+18, 745
 Day:+24, СЗ 2м/с, 741,  Evening:+17, 742
 Day:+21, СЗ 2м/с, 745,  Evening:+14, 747
 Day:+18, СВ 3м/с, 746,  Evening:+16, 746
 Day:+12, СВ 2м/с, 746,  Evening:+11, 746
 Day:+18, СВ 2м/с, 743,  Evening:+13, 743
 Day:+8, С 2м/с, 743,  Evening:+5, 744
 Day:+15, С 2м/с, 748,  Evening:+12, 750
 Day:+18, З 2м/с, 755,  Evening:+14, 755
 Day:+19, Ю 1м/с, 754,  Evening:+13, 753
 Day:+19, СЗ 1м/с, 750,  Evening:+16, 749
 Day:+15, В 2м/с, 746,  Evening:+12, 746
 Day:+20, З 2м/с, 745,  Evening:+17, 744
 Day:+15, ЮЗ 2м/с, 739,  Evening:+12, 738
 Day:+15, З 3м/с, 736,  Evening:+11, 736
 Day:+10, З 3м/с, 737,  Evening:+9, 738
 Day:+12, З 2м/с, 740,  Evening:+8, 742
 Day:+16, З 2м/с, 746,  Evening:+13, 746
 Day:+19, С 2м/с, 750,  Evening:+16, 752
 Day:+26, СЗ 3м/с, 752,  Evening:+15, 752
 Day:+28, З 2м/с, 750,  Evening:+21, 749
 Day:+29, ЮЗ 3м/с, 749,  Evening:+20, 749
 Day:+29, З 3м/с, 750,  Evening:+23, 751
 Day:+28, Ю 2м/с, 751,  Evening:+18, 751
 Day:+29, З 3м/с, 751,  Evening:+24, 750
 Day:+30, Ю 2м/с, 747,  Evening:+24, 748
 Day:+25, Ш, 749,  Evening:+24, 749
 Day:+28, ЮВ 1м/с, 750,  Evening:+24, 750
 Day:+6, В 2м/с, 755,  Evening:0, 755
 Day:+4, ЮВ 3м/с, 753,  Evening:0, 753
 Day:+5, В 4м/с, 750,  Evening:+1, 750
 Day:0, В 2м/с, 752,  Evening:+1, 752
 Day:+1, В 2м/с, 751,  Evening:0, 749
 Day:+6, ЮЗ 3м/с, 752,  Evening:+4, 753
 Day:+9, ЮЗ 3м/с, 753,  Evening:+6, 753
 Day:+9, В 3м/с, 749,  Evening:+5, 745
 Day:+8, ЮЗ 3м/с, 737,  Evening:+6, 738
 Day:+8, З 2м/с, 746,  Evening:+6, 746
 Day:+10, З 4м/с, 745,  Evening:+7, 746
 Day:+10, СЗ 3м/с, 754,  Evening:+2, 755
 Day:+14, Ю 3м/с, 753,  Evening:+10, 752
 Day:+15, Ю 2м/с, 747,  Evening:+11, 746
 Day:+17, Ю 3м/с, 743,  Evening:+5, 745
 Day:+13, ЮЗ 3м/с, 743,  Evening:+8, 743
 Day:+14, З 5м/с, 738,  Evening:+10, 740
 Day:+11, З 2м/с, 740,  Evening:+7, 740
 Day:+10, В 2м/с, 737,  Evening:+7, 737
 Day:+3, З 5м/с, 733,  Evening:+4, 737
 Day:+6, З 2м/с, 740,  Evening:+4, 742
 Day:+7, Ш, 740,  Evening:+1, 739
 Day:+7, ЮЗ 5м/с, 740,  Evening:+6, 740
 Day:+11, З 4м/с, 736,  Evening:+8, 740
 Day:+10, Ю 2м/с, 740,  Evening:+6, 740
 Day:+10, СЗ 4м/с, 746,  Evening:+5, 748
 Day:+9, З 1м/с, 747,  Evening:+9, 749
 Day:+13, В 3м/с, 753,  Evening:+13, 752
 Day:+25, З 2м/с, 752,  Evening:+18, 754
 Day:-2, В 3м/с, 758,  Evening:-5, 758
 Day:-2, ЮВ 2м/с, 756,  Evening:-6, 756
 Day:-3, В 2м/с, 755,  Evening:-6, 755
 Day:-2, В 1м/с, 752,  Evening:-8, 752
 Day:-8, ЮВ 2м/с, 755,  Evening:-11, 756
 Day:-6, ЮВ 1м/с, 758,  Evening:-11, 759
 Day:-7, В 1м/с, 758,  Evening:-10, 758
 Day:-3, З 1м/с, 758,  Evening:-10, 758
 Day:-2, ЮЗ 2м/с, 754,  Evening:-1, 752
 Day:+4, С 2м/с, 752,  Evening:+2, 756
 Day:+4, ЮЗ 2м/с, 759,  Evening:+2, 758
 Day:+3, ЮЗ 2м/с, 759,  Evening:+1, 760
 Day:+4, СВ 3м/с, 765,  Evening:0, 767
 Day:+7, СЗ 2м/с, 768,  Evening:+3, 768
 Day:+6, СЗ 2м/с, 764,  Evening:+1, 764
 Day:+1, СВ 3м/с, 768,  Evening:-2, 770
 Day:+5, СЗ 1м/с, 770,  Evening:-1, 769
 Day:+6, З 2м/с, 765,  Evening:-2, 764
 Day:+9, СЗ 1м/с, 760,  Evening:-1, 759
 Day:+5, Ю 2м/с, 754,  Evening:0, 752
 Day:+2, Ю 2м/с, 746,  Evening:-2, 743
 Day:+2, ЮЗ 2м/с, 741,  Evening:+2, 740
 Day:-2, С 2м/с, 747,  Evening:-5, 750
 Day:-2, ЮЗ 4м/с, 749,  Evening:-2, 748
 Day:+5, З 4м/с, 749,  Evening:+3, 752
 Day:+1, В 3м/с, 758,  Evening:-2, 759
 Day:-1, СВ 4м/с, 765,  Evening:-3, 767
 Day:+1, В 2м/с, 770,  Evening:-3, 771
 Day:-1, ЮВ 2м/с, 772,  Evening:-4, 770
 Day:-1, ЮВ 3м/с, 765,  Evening:-4, 764
 Day:-9, В 3м/с, 755,  Evening:-12, 754
 Day:-5, ЮВ 3м/с, 747,  Evening:-4, 747
 Day:-5, ЮВ 3м/с, 748,  Evening:-6, 748
 Day:-6, ЮВ 3м/с, 748,  Evening:-6, 748
 Day:-2, З 3м/с, 748,  Evening:-3, 750
 Day:-5, Ю 2м/с, 751,  Evening:-6, 748
 Day:-7, С 2м/с, 740,  Evening:-11, 739
 Day:-10, З 1м/с, 738,  Evening:-13, 740
 Day:-5, Ю 3м/с, 740,  Evening:-4, 742
 Day:-2, Ю 2м/с, 750,  Evening:-4, 751
 Day:-7, З 2м/с, 752,  Evening:-10, 751
 Day:-4, ЮЗ 3м/с, 754,  Evening:-7, 754
 Day:-5, З 2м/с, 753,  Evening:-4, 754
 Day:+3, СЗ 1м/с, 757,  Evening:-6, 756
 Day:-5, ЮЗ 2м/с, 748,  Evening:-6, 746
 Day:-10, С 3м/с, 752,  Evening:-12, 755
 Day:-11, С 1м/с, 761,  Evening:-15, 763
 Day:-9, ЮЗ 1м/с, 759,  Evening:-17, 756
 Day:-10, З 1м/с, 749,  Evening:-12, 750
 Day:-9, З 3м/с, 751,  Evening:-11, 750
 Day:-4, З 3м/с, 750,  Evening:-4, 751
 Day:0, Ю 2м/с, 756,  Evening:0, 756
 Day:+2, З 3м/с, 758,  Evening:-3, 759
 Day:+4, З 1м/с, 762,  Evening:-6, 763
 Day:+2, ЮВ 1м/с, 765,  Evening:-6, 766
 Day:-2, ЮВ 2м/с, 767,  Evening:-6, 767
 Day:-6, Ю 1м/с, 764,  Evening:-7, 764
 Day:-14, З 2м/с, 743,  Evening:-12, 744
 Day:-7, Ю 2м/с, 743,  Evening:-7, 740
 Day:-1, ЮЗ 2м/с, 733,  Evening:0, 733
 Day:0, ЮЗ 2м/с, 735,  Evening:0, 735
 Day:-3, ЮЗ 3м/с, 738,  Evening:-2, 737
 Day:-6, СЗ 2м/с, 741,  Evening:-12, 745
 Day:-22, С 1м/с, 750,  Evening:-27, 752
 Day:-22, З 1м/с, 752,  Evening:-21, 750
 Day:-13, З 3м/с, 746,  Evening:-12, 745
 Day:-9, Ю 3м/с, 744,  Evening:-5, 745
 Day:-10, ЮВ 4м/с, 741,  Evening:-8, 737
 Day:-1, ЮЗ 2м/с, 738,  Evening:-1, 739
 Day:-1, З 3м/с, 742,  Evening:-3, 740
 Day:+1, З 3м/с, 746,  Evening:+2, 746
 Day:+2, ЮЗ 1м/с, 751,  Evening:-2, 751
 Day:-3, СЗ 1м/с, 749,  Evening:-1, 752
 Day:-3, З 1м/с, 756,  Evening:-8, 756
 Day:-8, З 2м/с, 752,  Evening:-5, 752
 Day:-1, З 1м/с, 749,  Evening:-1, 749
 Day:-3, СЗ 3м/с, 754,  Evening:-11, 758
 Day:-13, СЗ 1м/с, 760,  Evening:-16, 759
 Day:-12, С 2м/с, 759,  Evening:-17, 762
 Day:-15, З 1м/с, 770,  Evening:-20, 771
 Day:-17, ЮВ 1м/с, 771,  Evening:-20, 771
 Day:-15, Ю 2м/с, 772,  Evening:-17, 771
 Day:-18, В 2м/с, 767,  Evening:-21, 766
 Day:-17, В 3м/с, 763,  Evening:-19, 762
 Day:-17, В 2м/с, 757,  Evening:-17, 757
 Day:-17, ЮВ 2м/с, 754,  Evening:-18, 754
 Day:-16, ЮВ 2м/с, 754,  Evening:-16, 754
 Day:-7, З 2м/с, 753,  Evening:-7, 752
 Day:-13, С 1м/с, 754,  Evening:-16, 756
 Day:-12, З 4м/с, 755,  Evening:-9, 750
 Day:-4, З 4м/с, 746,  Evening:-3, 744
 Day:-4, СЗ 2м/с, 752,  Evening:-12, 756
 Day:-11, З 1м/с, 765,  Evening:-11, 764
 Day:-4, З 5м/с, 762,  Evening:-8, 764
 Day:-11, В 3м/с, 764,  Evening:-11, 763
 Day:-9, ЮВ 2м/с, 763,  Evening:-8, 763
 Day:-3, ЮЗ 1м/с, 762,  Evening:-5, 761
 Day:-7, В 2м/с, 758,  Evening:-6, 758
 Day:-5, ЮВ 2м/с, 755,  Evening:-1, 754
 Day:-5, В 2м/с, 752,  Evening:-3, 752
 Day:-2, ЮЗ 1м/с, 754,  Evening:-3, 755
 Day:-3, Ш, 757,  Evening:-2, 759
 Day:-3, ЮВ 1м/с, 759,  Evening:-4, 760
 Day:-7, ЮВ 1м/с, 759,  Evening:-6, 758
 Day:-5, Ю 2м/с, 752,  Evening:-4, 751
 Day:-2, З 1м/с, 748,  Evening:-4, 748
 Day:-2, Ю 3м/с, 746,  Evening:-1, 743
 Day:+1, З 3м/с, 744,  Evening:-1, 745
 Day:0, З 1м/с, 739,  Evening:-1, 740
 Day:-4, ЮВ 1м/с, 740,  Evening:-2, 737
 Day:0, ЮЗ 2м/с, 727,  Evening:-3, 729
 Day:-6, ЮЗ 2м/с, 737,  Evening:-7, 732
 Day:-11, З 3м/с, 744,  Evening:-13, 749
 Day:-13, З 2м/с, 756,  Evening:-17, 758
 Day:-9, В 5м/с, 750,  Evening:-7, 745
 Day:-9, З 4м/с, 742,  Evening:-13, 747
 Day:-12, В 3м/с, 746,  Evening:-10, 740
 Day:+4, Ш, 745,  Evening:+2, 744
 Day:+2, СВ 3м/с, 745,  Evening:+1, 746
 Day:+4, СВ 1м/с, 750,  Evening:+2, 752
 Day:-1, С 1м/с, 753,  Evening:-2, 752
 Day:+4, ЮЗ 1м/с, 751,  Evening:+2, 751
 Day:+1, СЗ 1м/с, 753,  Evening:0, 754
 Day:+4, З 1м/с, 755,  Evening:+3, 756
 Day:+4, ЮЗ 2м/с, 755,  Evening:+5, 755
 Day:+4, ЮЗ 2м/с, 757,  Evening:+5, 758
 Day:+6, З 2м/с, 759,  Evening:+4, 763
 Day:+2, З 1м/с, 766,  Evening:+2, 766
 Day:+4, ЮЗ 2м/с, 761,  Evening:+3, 760
 Day:+5, З 2м/с, 759,  Evening:+2, 759
 Day:+2, СЗ 1м/с, 759,  Evening:+2, 760
 Day:-1, СЗ 1м/с, 759,  Evening:-4, 759
 Day:-8, С 1м/с, 762,  Evening:-9, 763
 Day:-6, Ш, 765,  Evening:-9, 765
 Day:-6, З 2м/с, 766,  Evening:-9, 766
 Day:-6, З 2м/с, 765,  Evening:-8, 771
 Day:-4, С 1м/с, 762,  Evening:-3, 762
 Day:-1, СЗ 1м/с, 762,  Evening:-1, 762
 Day:-1, З 2м/с, 757,  Evening:-4, 755
 Day:-3, С 2м/с, 756,  Evening:-8, 761
 Day:-11, ЮВ 1м/с, 770,  Evening:-13, 770
 Day:-7, З 3м/с, 767,  Evening:-10, 766
 Day:-7, З 3м/с, 760,  Evening:-9, 759
 Day:-8, Ю 1м/с, 763,  Evening:-8, 763
 Day:-8, В 1м/с, 766,  Evening:-8, 766
 Day:-5, СВ 1м/с, 765,  Evening:-5, 764
 Day:+8, З 3м/с, 743,  Evening:+6, 744
 Day:+3, СЗ 3м/с, 747,  Evening:+4, 748
 Day:+6, СЗ 3м/с, 749,  Evening:+2, 749
 Day:+9, СЗ 2м/с, 747,  Evening:+3, 749
 Day:+6, С 1м/с, 755,  Evening:+3, 757
 Day:+6, СЗ 1м/с, 761,  Evening:+5, 761
 Day:+8, СЗ 3м/с, 761,  Evening:+4, 760
 Day:+4, СЗ 2м/с, 762,  Evening:+3, 762
 Day:+9, З 2м/с, 761,  Evening:+5, 760
 Day:+13, З 4м/с, 756,  Evening:+12, 755
 Day:+19, З 4м/с, 749,  Evening:+14, 751
 Day:+15, З 2м/с, 752,  Evening:+9, 752
 Day:+19, З 3м/с, 748,  Evening:+15, 747
 Day:+15, СЗ 2м/с, 747,  Evening:+11, 749
 Day:+13, З 2м/с, 749,  Evening:+12, 748
 Day:+17, ЮЗ 3м/с, 743,  Evening:+13, 744
 Day:+17, ЮВ 1м/с, 738,  Evening:+14, 736
 Day:+2, СЗ 2м/с, 739,  Evening:0, 740
 Day:-2, СЗ 3м/с, 745,  Evening:-4, 748
 Day:-1, Ю 2м/с, 745,  Evening:-2, 740
 Day:+3, В 2м/с, 737,  Evening:+4, 735
 Day:+1, З 3м/с, 738,  Evening:-4, 742
 Day:-6, З 4м/с, 748,  Evening:-9, 750
 Day:-6, СЗ 3м/с, 755,  Evening:-7, 756
 Day:-5, С 2м/с, 758,  Evening:-6, 759
 Day:-5, СЗ 2м/с, 764,  Evening:-5, 764
 Day:+2, З 3м/с, 762,  Evening:+1, 761
 Day:+3, З 4м/с, 756,  Evening:+3, 755
 Day:+7, З 2м/с, 755,  Evening:+5, 756
 Day:+7, Ю 1м/с, 757,  Evening:+6, 756
 Day:+20, СЗ 2м/с, 755,  Evening:+15, 756
 Day:+20, С 2м/с, 757,  Evening:+16, 757
 Day:+23, СЗ 1м/с, 754,  Evening:+19, 752
 Day:+19, СЗ 2м/с, 750,  Evening:+15, 750
 Day:+19, С 1м/с, 751,  Evening:+10, 751
 Day:+22, СЗ 2м/с, 749,  Evening:+12, 749
 Day:+22, СЗ 1м/с, 750,  Evening:+13, 751
 Day:+19, СВ 2м/с, 753,  Evening:+14, 754
 Day:+18, В 1м/с, 755,  Evening:+13, 755
 Day:+21, В 1м/с, 756,  Evening:+15, 757
 Day:+21, В 2м/с, 758,  Evening:+17, 758
 Day:+25, З 1м/с, 757,  Evening:+17, 756
 Day:+23, З 2м/с, 754,  Evening:+11, 753
 Day:+24, З 2м/с, 752,  Evening:+18, 752
 Day:+22, З 1м/с, 751,  Evening:+14, 750
 Day:+13, СЗ 4м/с, 748,  Evening:+7, 751
 Day:+9, СЗ 3м/с, 753,  Evening:+7, 753
 Day:+9, СЗ 2м/с, 757,  Evening:+7, 759
 Day:+14, ЮЗ 3м/с, 760,  Evening:+6, 759
 Day:+17, ЮЗ 2м/с, 756,  Evening:+7, 756
 Day:+20, З 2м/с, 754,  Evening:+10, 754
 Day:+20, ЮВ 1м/с, 752,  Evening:+10, 752
 Day:+17, В 2м/с, 749,  Evening:+14, 747
 Day:+24, В 2м/с, 743,  Evening:+17, 743
 Day:+16, Ш, 745,  Evening:+13, 746
 Day:+17, СЗ 1м/с, 749,  Evening:+14, 750
 Day:+19, ЮВ 1м/с, 750,  Evening:+15, 749
 Day:+18, З 2м/с, 748,  Evening:+13, 749
 Day:+16, СЗ 1м/с, 749,  Evening:+11, 749
 Day:+26, С 2м/с, 750,  Evening:+21, 751
 Day:+25, З 1м/с, 751,  Evening:+19, 751
 Day:+24, С 1м/с, 748,  Evening:+21, 747
 Day:+24, С 2м/с, 746,  Evening:+21, 745
 Day:+24, В 4м/с, 745,  Evening:+18, 746
 Day:+26, В 2м/с, 747,  Evening:+21, 747
